,Name,Rating,Number of ratings,Number of reviews,Actual Price,Current Price,Link
87,"beatXP Marv Neo 1.85'' HD Display Bluetooth Calling, Health Tracking & IP68 Smartwatch  (Rose Gold Strap, Free Size)",4.1,129205,10688,6499.0,999.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
88,"Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch  (Wine Red Strap, Free Size)",4.2,214900,16064,3995.0,1099.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
89,"Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch  (Beige Strap, Free Size)",4.2,214900,16064,3995.0,1099.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
90,"Fire-Boltt Shark 46.5mm (1.83) Smartwatch with Rugged Outdoor Design, Bluetooth Calling Smartwatch  (Black Strap, Free Size)",4.0,18201,3577,18999.0,1799.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
91,"beatXP Vega X 1.43"" AMOLED 466*466px Display One-Tap BT 5.2 Calling AI Voice Assistant Smartwatch  (Electric Black Strap, Free Size)",4.1,8005,1121,9999.0,1199.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
92,"Noise Crew 1.38"" Round Display with Bluetooth Calling, Metallic finish, IP68 Rating Smartwatch  (Black Strap, Regular)",4.2,106363,6951,4999.0,1399.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
93,"Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch  (Teal Strap, Free Size)",4.2,214900,16064,3995.0,1099.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
94,"boAt Storm Call 2 1.83'' HD Display,BT Calling,boAt Coins & DIY Watch Face Studio Smartwatch  (Dark Blue Strap, Free Size)",4.1,61636,3810,6999.0,1299.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
95,"Fire-Boltt Destiny 35.3mm (1.39) Stainless Steel Smartwatch, Metal Body, Bluetooth Calling Smartwatch  (Black Strap, Free Size)",4.1,16673,2712,11999.0,1699.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
96,"beatXP Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68 Smartwatch  (Mint Green Strap, Free Size)",4.1,129205,10688,6499.0,999.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
97,"boAt Lunar Seek with 1.39'' HD Display, Functional Crown & Bluetooth Calling Smartwatch  (Metal Grey Strap, Free Size)",4.0,43042,2689,7499.0,1249.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
98,"beatXP Marv Raze 1.96"" Display Bluetooth Calling, Smart AI Voice Assistant Smartwatch  (Electric Black Strap, Free Size)",4.1,29845,3127,7499.0,1099.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
99,"SAMSUNG Galaxy Watch 4 Classic LTE 46mm Super AMOLED LTE, Body Composition Tracking  (Black Strap, Free Size)",4.3,18526,1640,42999.0,8999.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
100,"boAt Lunar Connect with ENx Technology for BT Calling & 1.28 HD Round Display Smartwatch  (Active Black Strap, Free Size)",4.0,43042,2689,7999.0,1199.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
101,"Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch  (Rose Gold Strap, Free Size)",4.2,214900,16064,3995.0,1099.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
102,"Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch  (Blue Strap, Free Size)",4.2,214900,16064,3995.0,1099.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
103,"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOLED|Highest Resolution|BT Calling Smartwatch  (Wine Red Strap, Free Size)",4.3,76323,5953,7995.0,1999.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
104,"Fire-Boltt Rise BT Calling 47mm (1.85), Voice Assistance & 123 Sports Single BT Connection Smartwatch  (Grey Strap, Free Size)",4.0,75914,9406,11999.0,1399.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
105,"Fastrack Revoltt FS1+|2.01'' Biggest UltraVU Display|Industry Best 950 Nits|BT Calling Smartwatch  (Blue Strap, Free Size)",4.2,30160,1945,5995.0,1399.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
106,"Boult Craft 1.83"" HD Display, BT Calling, Health Monitoring, Knurled Design, 500Nits Smartwatch  (Smoky White Strap, Free Size)",4.1,3064,172,3499.0,999.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
107,"Fire-Boltt Hulk 45.2mm (1.78) Amoled Bluetooth Calling with 120 sports modes Smartwatch  (Black Strap, 1.78)",4.0,80430,12744,17999.0,1499.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
108,"Fire-Boltt Hulk 45.2mm (1.78) Amoled Bluetooth Calling with 120 sports modes Smartwatch  (Grey Strap, 1.78)",4.0,80430,12744,17999.0,1499.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
109,"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2 Smartwatch  (Jet Black Strap, Free Size)",4.1,229109,15696,8499.0,1099.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
110,"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOLED|Highest Resolution|BT Calling Smartwatch  (Green Strap, Free Size)",4.3,76323,5953,7995.0,1999.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
111,"beatXP Vector 1.30'' HD Display, BT Calling with Health Tracking & AI Voice Assistant Smartwatch  (Electric Black Strap, Free Size)",3.8,6695,388,5499.0,999.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
112,"Fire-Boltt Ninja Calling Pro Plus 46.5mm (1.83) Display Bluetooth Calling, AI Voice Smartwatch  (Black Strap, Free Size)",4.1,307137,43598,9999.0,1299.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
113,"boAt Storm Call 2 1.83'' HD Display,BT Calling,boAt Coins & DIY Watch Face Studio Smartwatch  (Metal Black Strap, Free Size)",4.1,61636,3810,7499.0,1599.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
114,"CMF by Nothing Watch Pro 2, 1.32"" AMOLED, auto-brightness,Gesture Control, 3D warmup guide,GPS Smartwatch  (Ash Grey Strap, Free Size)",4.4,1628,190,5499.0,4999.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
115,"CMF by Nothing Watch Pro 2, 1.32"" AMOLED, auto-brightness,Gesture Control, 3D warmup guide,GPS Smartwatch  (Blue Strap, Free Size)",4.4,1628,190,5999.0,5499.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
116,"beatXP Marv Ace 1.85'' HD BT Calling, 100+ Sports Modes with IP67 Smartwatch  (Ice Silver Strap, Free Size)",3.9,50049,3413,5499.0,999.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
117,"Fire-Boltt Destiny 35.3mm (1.39) Stainless Steel Smartwatch, Metal Body, Bluetooth Calling Smartwatch  (Silver Strap, Free Size)",4.1,16673,2712,11999.0,1699.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
